Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
ATLC,2018-07-31,2.3,3.83,2.15,2.3,9430630,2.05,3.83,13890000,31947000,21.05
ABIO,2018-07-31,1.2,1.28,0.74,0.83,26077613,1.28,1.28,13920000,16704000,46.88
RXII,2018-08-01,1.93,2.36,1.66,1.79,13214065,2.1,2.36,4260000,8221800,30.41
HABT,2018-08-02,15,15.7,13.89,15.15,1746233,14.5,15.7,20500000,307500000,20.48
MOC,2018-08-02,1.85,2.25,1.63,1.64,2631023,1.84,2.25,10140000,18759000,37.04
QTRH,2018-08-02,1.4,1.53,1.34,1.39,4155421,1.6,1.53,118660000,166124000,29.63
IHT,2018-08-02,2.48,2.7,1.48,1.53,6563866,2.7,2.7,9580000,23758400,93.75
DXCM,2018-08-02,119.4,125.65,114.81,124.69,6934031,119,123.4799,88090000,10517946000,25.1
ARC,2018-08-03,3.09,3.26,2.62,2.72,953094,2.8,3.26,45260000,139853400,23.11
WMLP,2018-08-03,5,5.58,2.86,4.17,5335929,5.85,5.58,1290000,6450000,156.41
TCCO,2018-08-06,5.1,5.95,4.6,4.8,870927,5.9,5.95,1850000,9435000,32.47
UUU,2018-08-06,2.5,2.65,1.85,2,3087543,3.05,2.6499,2310000,5775000,38.89
CHKE,2018-08-06,0.65,0.98,0.61,0.95,15137814,0.75,0.98,14000000,9083200,44.18
SEAS,2018-08-06,25.4,26,23.07,24.69,31837940,25.69,26,88540000,2248916000,20.21
TIS,2018-08-07,3.4,3.7,2.26,2.37,3052600,3.75,3.7,10670000,36278000,55.96
HMNY,2018-08-07,0.1,0.12,0.07,0.07,313246203,0.107,0.118,6690000,675690,21.1
AAOI,2018-08-08,46,46,40.28,40.92,5951349,47,46,19580000,900680000,23.56
ABIL,2018-08-08,4.8,8.57,4.73,6.6,22541418,4.89,8.18,2580000,12384000,63.27
CLDC,2018-08-09,1.65,1.68,1.27,1.3,688127,1.87,1.68,24530000,40474500,24.06
TAT,2018-08-09,1.39,1.62,1.3,1.55,894024,1.28,1.6193,50390000,70042100,27.52
BEL,2018-08-09,14.3,16.2,14,15.1,3609458,14.55,16.2,102750000,1469325000,28.25
KBSF,2018-08-09,7.86,7.95,4.41,4.43,4027575,8.9,7.95,2210000,17370600,52.62
CTXR,2018-08-09,1.47,3.14,1.47,1.69,4317584,1.79,3.14,10680000,15699600,28.95
TMSR,2018-08-10,10,10.32,5.15,5.25,70882,10.5,10.3222,22800000,228000000,53.85
MDLY,2018-08-10,4.9,5.5,4.85,5.35,1299181,5.45,5.45,5550000,27195000,40
OSTK,2018-08-10,46.95,48,41.6,41.65,9776782,48,48,28900000,1356855000,21.63
TTD,2018-08-10,115.5,130.84,112.27,127.93,10362818,116.35,130.84,34280000,3959340000,23.81
AWX,2018-08-10,4.6,6.79,4,4.22,22150179,4.87,6.79,3190000,14674000,58.62
ABIL,2018-08-13,6.8,8.3,5.92,5.99,9790483,7.9,8.3,2580000,17544000,47.83
RSLS,2018-08-13,0.13,0.15,0.1,0.13,38999977,0.149,0.155,19550000,2637295,42
HYRE,2018-08-14,3.38,4.1,2.95,3.01,8187265,3.7,4.1,10050000,33969000,22.02
THST,2018-08-14,2.91,3.19,1.91,1.96,11514985,3.25,3.19,4500000,13095000,96.22
UAVS,2018-08-15,2.1,2.1,1.74,1.8,199611,2.01,2.1,10160000,21336000,20.69
NSYS,2018-08-15,4.5,4.68,3.76,3.94,262399,4.94,4.6787,2700000,12150000,23.49
STAF,2018-08-15,3.27,3.48,2.26,2.26,4649389,3.35,3.48,4260000,13930200,39.15
LMFA,2018-08-15,0.64,0.78,0.42,0.43,5406332,0.96,0.78,6250000,4000000,64.95
CGC,2018-08-15,32.62,33,29.05,32.11,35500446,40,33,216790000,7071689800,32.49
UAVS,2018-08-16,2.2,2.2,1.85,1.87,183956,2.1,2.2,10290000,22638000,22.22
ANW,2018-08-16,2.48,2.48,1.9,2.09,8645664,2.6,2.48,40640000,100787200,46.75
MYND,2018-08-17,1.58,1.58,1.31,1.35,123590,1.65,1.58,6280000,9922400,20.61
CNET,2018-08-17,2.42,2.51,2.15,2.4,4000934,2.81,2.51,16129999,39034597.58,26.7
TIK,2018-08-17,4.05,5.4,3,3.25,5695089,4.9,5.4,3260000,13203000,55.77
IZEA,2018-08-17,1.66,1.7,1.36,1.46,12450151,1.83,1.7,10670000,17712200,50.91
ZOES,2018-08-17,12.74,12.88,12.72,12.74,12889996,12.81,12.88,19600000,249704000,33.26
GLG,2018-08-20,0.87,0.98,0.75,0.77,968462,1.3,0.98,24600000,21500400,48.14
SSC,2018-08-20,4.05,4.18,2.82,3.02,21159491,5.3,4.18,73140000,296217000,105.58
USEG,2018-08-22,1.02,1.14,0.91,0.95,3435978,1.25,1.14,13110000,13372200,21.14
NEWA,2018-08-22,11.7,13.25,9.5,11.83,6836092,15,13.25,10810000,126477000,26.35
FFHL,2018-08-24,2.8,3.14,2.28,2.34,615758,3.03,3.14,3270000,9156000,20.69
AMMA,2018-08-24,0.31,0.62,0.31,0.42,21509858,0.367,0.6199,14860000,4547160,56.8
IGC,2018-08-27,1.11,1.65,0.98,1.52,43333591,1.15,1.24,31040000,34454400,56.36
STAF,2018-08-28,3.17,3.46,2.23,2.33,5430175,3.47,3.46,4720000,14962400,64.25
DSW,2018-08-28,33.6,34.02,31.62,32.7,15027030,34.05,34.02,72470000,2434992000,23.53
AFMD,2018-08-28,4.2,5.7,3.85,5.55,37453210,4.65,4.85,62390000,262038000,162.5
OPNT,2018-08-29,27.5,29.55,20.07,21.43,1144990,29.98,29.5485,2820000,77550000,75.57
WPRT,2018-08-29,3.6,3.77,3.26,3.51,5787986,3.86,3.77,132479999,476927996.4,24.57
GKOS,2018-08-29,62.33,70.91,58.95,62.86,11103417,63.76,70.91,35260000,2197755800,39.13
IGC,2018-08-29,1.67,2.05,1.53,2.04,39084035,2.05,1.94,31040000,51836800,26.52
MTSL,2018-08-30,2.28,2.38,1.59,1.67,4223376,2.48,2.3796,3120000,7113600,37.35
REIS,2018-08-30,23.1,23.1,22.95,23,4825189,23.9,23.1,11570000,267267000,32.76
BLIN,2018-08-30,1.1,1.78,1.1,1.38,14975122,1.1946,1.78,4240000,4664000,23.54
KTWO,2018-08-30,27.41,27.5,27.29,27.5,17293683,27.56,27.47,43600000,1195076000,25.62
VHC,2018-08-31,3.55,3.65,3.2,3.35,3638954,4.5,3.65,62620000,222301000,20.34
SAEX,2018-08-31,0.86,0.92,0.66,0.68,4312677,0.94,0.92,20900000,17974000,41.15
AOBC,2018-08-31,11.9,14.04,11.7,14.03,25647544,12.6,13.83,54380000,647122000,21.8
CDZI,2018-09-04,11.8,11.9,10.65,11.4,267933,12.2,11.9,24450000,288510000,22.92
REPH,2018-09-04,8.19,8.19,7.21,8.07,1830625,9,8.19,20720000,169696800,28.37
TA,2018-09-04,5.35,6.1,5.3,5.5,5709931,6.35,6.1,39770000,212769500,22.99
MNKD,2018-09-04,1.65,2.17,1.51,2.08,51912935,1.84,1.7967,152990000,252433500,50
PRQR,2018-09-05,13.65,17.55,12,17.55,6092623,14.25,13.8,31920000,435708000,71.7
ABAC,2018-09-06,1.99,3.2,1.85,1.85,2780084,2.38,3.2,9980000,19860200,23.6
NBEV,2018-09-06,2.4,2.45,1.95,2.04,17768177,2.51,2.45,40200000,96480000,23.08
ARWR,2018-09-06,18,22.39,18,19.39,28650132,18.51,22.39,88020000,1584360000,27.66
NVUS,2018-09-07,4.75,5.47,4.3,4.55,4398613,6.2899,5.47,9420000,44745000,24.67
NLST,2018-09-07,0.32,0.4,0.27,0.28,54450278,0.42,0.4,111310000,35574676,117.41
TTNP,2018-09-10,0.8,0.84,0.67,0.67,1578430,0.98,0.84,21200000,16960000,23.08
FRED,2018-09-10,2.46,2.98,2.33,2.97,36251180,2.77,2.77,37260000,91659600,50.46
NLST,2018-09-10,0.43,0.76,0.39,0.75,99374831,0.565,0.45,111310000,47863300,52.48
CYTX,2018-09-11,0.58,0.58,0.48,0.51,838542,0.642,0.58,7710000,4471800,23.38
ANY,2018-09-11,0.33,0.54,0.31,0.38,8025796,0.42,0.54,15300000,4987800,23.25
SSC,2018-09-11,5.5,5.57,4.76,5,8209815,5.8,5.57,73140000,402270000,23.04
IZEA,2018-09-11,2.15,2.25,1.83,1.88,9103966,2.55,2.25,10670000,22940500,42.38
IVTY,2018-09-11,7.38,7.4,7.3,7.35,14197407,7.4,7.4,24070000,177588460,28.31
AGRX,2018-09-11,0.6,0.92,0.45,0.67,52677592,0.7389,0.64,34380000,20624562,94.14
NLST,2018-09-11,0.96,1.1,0.45,0.65,128222528,1.05,1.1,111310000,107080220,28.27
XBIT,2018-09-12,2.89,3.2,2.4,2.92,678238,2.5,3.2,35820000,103519800,25.11
RHE,2018-09-12,0.36,0.38,0.18,0.18,15340422,0.4489,0.38,20190000,7268400,166.67
FOMX,2018-09-12,7.58,7.6,6.01,6.11,16607046,9.61,7.6,40780000,309112400,28.04
INPX,2018-09-12,0.15,0.25,0.15,0.21,58392645,0.17,0.25,43840000,6795200,25.61
BLIN,2018-09-13,1.18,1.22,1,1.06,1072934,1.38,1.22,4240000,5003200,21.64
PI,2018-09-13,25.41,28.48,24.52,25.01,4243170,27.4,28.48,21390000,543519900,35.3
RHE,2018-09-13,0.28,0.32,0.21,0.23,14051224,0.288,0.32,20190000,5552250,51.93
CSBR,2018-09-14,10.74,11.13,8.69,10.58,1902044,10.68,11,11040000,118569600,26.65
CHKE,2018-09-14,1.18,1.25,0.94,0.95,3812613,1.23,1.25,14000000,16520000,35.63
CLRB,2018-09-17,2.63,2.68,2.02,2.22,905183,2.85,2.68,3800000,9994000,20.09
MYND,2018-09-17,2.44,2.45,2.02,2.1,3396355,2.84,2.45,6280000,15323200,35.56
AWSM,2018-09-17,6.45,7.56,6.01,7.08,6636314,6.4,7.4083,7090000,45730500,24.52
SNMX,2018-09-17,1.48,1.49,1.47,1.47,10890273,1.53,1.49,48340000,71543200,40.95
NBEV,2018-09-17,2.05,2.35,1.69,2.3,16832896,2.15,2.06,49400000,101270000,28.93
BHTG,2018-09-18,3.72,3.8,3.53,3.62,91197,3.68,3.8,14550000,54126000,20
VKTX,2018-09-18,19.93,24,18.06,19.46,51712636,29.0699,24,60660000,1208650500,91.77
MOC,2018-09-19,2.78,2.82,2.78,2.78,1087561,2.79,2.82,10140000,28189200,46.32
MTEM,2018-09-19,6.41,7.35,5.85,6.25,7083647,6.7,7.35,27070000,173518700,56.34
TLRY,2018-09-19,233.58,300,151.4,214.06,31717724,239,240,76480000,17864198400,50.72
NBEV,2018-09-20,5.68,7.85,5.27,7.85,129919612,6.34,7.5,49400000,280592000,29.98
DTEA,2018-09-21,4.95,5.35,2.4,2.5,14447503,5.95,5.35,26000000,128700000,47.76
IGC,2018-09-21,2.7,4.06,2.6,2.9,76753358,2.75,4.06,33259999,89801997.3,25.58
GLOW,2018-09-24,0.17,0.18,0.17,0.17,491692,0.1701,0.1761,47910000,8096790,39.67
ACST,2018-09-24,0.99,1.01,0.69,0.83,9053775,1.39,1.01,36680000,36313200,68.22
MTNB,2018-09-24,0.53,0.66,0.44,0.63,9772080,0.51,0.53,94580000,50127400,29.65
OGEN,2018-09-24,0.99,1.15,0.77,0.93,44737603,1.04,1.07,11840000,11720416,37.49
APDN,2018-09-25,1.79,1.84,1.47,1.56,1396092,1.99,1.84,30110000,53896900,22.6
XOXO,2018-09-25,34.65,35.36,34.63,34.91,1894398,34.8,34.98,25910000,897781500,25.36
YUMA,2018-09-25,0.58,0.59,0.3,0.31,4731635,0.57,0.589,23240000,13479200,38.06
JONE,2018-09-25,9.2,11.2,6.76,6.99,4827855,9.8,11.2,4900000,45080000,41.1
NBEV,2018-09-25,4.81,5.19,4.26,4.46,29839589,4.87,5.19,49400000,237614000,21.46
JAGX,2018-09-25,1.1,2.5,0.92,1.68,47710853,1.18,2.05,9530000,10483000,69.23
CEI,2018-09-25,0.67,0.74,0.42,0.45,94031968,0.73,0.74,40050000,26833500,81.03
ALN,2018-09-26,0.17,0.24,0.14,0.15,4588293,0.238,0.24,68570000,11656900,21.43
ALDX,2018-09-26,12.35,16.7,12,13.35,21268610,16.4,15.1,20980000,259103000,24.75
INPX,2018-09-26,0.23,0.24,0.19,0.23,22070261,0.244,0.245,43840000,10083200,22.15
ANY,2018-09-26,0.49,0.72,0.37,0.42,27517097,0.77,0.72,15300000,7497000,76.9
IGC,2018-09-26,3.25,3.39,2.77,3.02,37301229,3.77,3.39,33259999,108094996.8,39.48
HAIR,2018-09-27,2.94,2.96,2.5,2.75,515166,2.89,2.94,39140000,115071600,21.49
ALN,2018-09-27,0.19,0.19,0.15,0.17,2999589,0.187,0.1899,68570000,13021443,30.07
CEI,2018-09-27,0.49,0.5,0.32,0.35,48368327,0.49,0.502,40050000,19624500,28.95
ACHV,2018-09-27,4.17,5.25,3.79,3.81,49061792,4.3,4.83,4550000,18973500,52.75
IGC,2018-09-28,5.85,7.48,5.35,6.45,104532754,5.9,7.48,33259999,194570994.2,27.17
SYN,2018-10-01,3.75,4,2.49,2.59,8161624,4.17,4,3800000,14250000,44.23
ACST,2018-10-01,1.57,1.8,1.51,1.57,10716754,2.35,1.8,36680000,57587600,21.71
MTNB,2018-10-01,1.18,1.48,0.92,1.04,13499830,1.26,1.48,94640000,111675200,28.26
CRMD,2018-10-01,1.17,1.43,1.15,1.19,16836000,1.24,1.43,97840000,114472800,20.78
OGEN,2018-10-01,1.39,1.89,1.25,1.6,51004411,1.48,1.89,11840000,16457600,20.87
IGC,2018-10-01,8,9.24,7.16,9.02,64336834,8.4,8.5,33259999,266079992,24.03
NBEV,2018-10-01,6.88,8.95,6.43,8.95,96100806,6.95,7.5,49410000,339940800,28.6
DTEA,2018-10-02,3.57,4.35,3,4.16,31911930,4.14,3.85,26000000,92820000,40
OGEN,2018-10-02,2.22,3.74,1.97,3.57,99590254,2.38,3.25,11840000,26284800,38.75
ELGX,2018-10-03,2.2,2.2,1.73,1.73,2357411,2.65,2.2,84710000,186362000,27.91
NVCN,2018-10-03,3.11,3.35,2.51,2.67,6267446,3.17,3.35,19020000,59152200,38.22
AMDA,2018-10-03,0.33,0.41,0.29,0.34,13985410,0.37,0.41,11870000,3917100,38.71
LODE,2018-10-03,0.32,0.32,0.19,0.22,18504363,0.4,0.315,57290000,18046350,96.63
PTIE,2018-10-03,1.21,2.99,1.21,2.9,59217751,1.36,1.8269,17120000,20715200,25.4
VTVT,2018-10-03,2.9,6.09,2.89,3.4,63368609,3.06,6.09,13320000,38628000,45
MNGA,2018-10-03,0.65,0.68,0.33,0.42,165868146,0.73,0.68,39920000,25948000,167.05
IAM,2018-10-04,10,10.2,10,10.1,55129,9.98,10.2,6810000,68100000,54.83
UAVS,2018-10-04,1.44,1.44,1.23,1.38,208721,1.37,1.44,10160000,14630400,20
LODE,2018-10-04,0.28,0.29,0.21,0.22,8405243,0.3,0.2945,57290000,16241715,27.53
BKS,2018-10-04,6.68,7.13,6.45,6.65,9293672,6.92,7.13,73020000,487773600,22.34
VXRT,2018-10-04,4.28,7.6,4.25,5.25,17875349,4.9,7.6,7140000,30559200,53.96
RSLS,2018-10-04,0.06,0.06,0.04,0.04,26638363,0.09,0.06,83470000,5008200,22.2
IZEA,2018-10-04,2.29,3,1.8,1.86,26919196,2.56,3,12070000,27640300,47.74
AMPE,2018-10-05,0.7,0.75,0.55,0.57,8245693,0.78,0.75,106540000,74567346,20.67
OGEN,2018-10-05,1.83,1.86,1.5,1.56,17775445,1.99,1.83,18420000,33708600,21.19
VTVT,2018-10-05,3.94,4.47,2.97,3.35,26815258,4.02,4.47,13320000,52480800,48.12
GTXI,2018-10-05,2.46,3.34,1.75,1.91,49952164,2.55,3.34,24050000,59163000,74.47
CLDC,2018-10-08,2.1,2.76,1.29,1.29,24381926,2.2,2.76,24530000,51513000,162.47
IGC,2018-10-08,4.99,6.78,4.76,6.74,48074608,5.26,5.93,33360000,166466400,23.21
YGYI,2018-10-09,7.8,10.95,7.33,10.16,5752231,7.9752,9.1,21560000,168168000,27.45
PYX,2018-10-09,48.49,52.43,39.21,40.12,22933000,48.98,52.433,9820000,476171800,25.88
AGRX,2018-10-09,0.92,1.1,0.68,0.71,58765612,0.94,1.1,34380000,31512708,98.44
TIK,2018-10-10,4.08,4.59,3,3.29,489266,4.16,4.59,3260000,13300800,50.58
ASTC,2018-10-10,2.83,3.79,2.62,2.69,2394585,2.83,3.79,4099999,11602997.17,21.46
NVLN,2018-10-10,1.71,1.74,1.03,1.03,3329531,2.21,1.74,18850000,32233500,32.56
ESL,2018-10-10,115.5,116,114.69,115.41,4095442,122.01,115.785,29440000,3400320000,30.08
IGC,2018-10-10,5.8,5.81,4.81,5.1,16278416,6.08,5.81,33360000,193488000,20.33
NVCN,2018-10-10,4.22,4.58,2.66,2.8,32052447,4.74,4.58,19020000,80264400,72.95
CGEN,2018-10-11,3.96,4,3.25,3.5,3873714,4.1,4,57200000,226512000,21.85
SPEX,2018-10-11,1.44,1.55,1.01,1.05,5203519,1.83,1.55,8540000,12297600,42.57
AKER,2018-10-12,0.36,0.4,0.33,0.35,6040419,0.398,0.4,94110000,33879600,20.4
CORI,2018-10-12,12.53,12.79,12.51,12.7,27677593,12.6,12.565,36250000,454212500,50.78
KRYS,2018-10-15,20.33,21.89,18,20,588470,21,21.895,10980000,223223400,25.96
DPW,2018-10-15,0.43,0.43,0.34,0.35,2945364,0.54,0.435,70040000,30467400,25.65
EARS,2018-10-15,1.4,1.97,1.26,1.38,76483597,1.48,1.63,6120000,8568000,42.86
PRPO,2018-10-16,0.41,0.41,0.32,0.33,3833269,0.47,0.415,30160000,12365600,31.16
FFHL,2018-10-16,2.15,3.66,2.03,2.14,4192129,2.31,3.66,3270000,7030500,24.28
LODE,2018-10-16,0.29,0.33,0.25,0.28,10262421,0.3325,0.328,57290000,16894821,31.07
FLKS,2018-10-16,1.39,1.49,0.66,0.69,34154371,1.44,1.49,18070000,25117300,46.32
VICR,2018-10-17,46.9,47.5,42.5,42.7,1585876,46.75,47.5,28160000,1320704000,22.23
PLAG,2018-10-17,2.94,3.66,2.46,2.96,2003504,3.74,3.66,3140000,9231600,32.73
OGEN,2018-10-17,1.41,1.42,1.2,1.25,9779262,1.62,1.42,29160000,41115600,23.68
VTVT,2018-10-17,4.5,4.59,3.5,3.66,14903093,4.68,4.59,13320000,59940000,57.89
CADC,2018-10-18,4.7,6.34,3.27,4,1066895,5.86,6.34,5590000,26273000,27.03
ORPN,2018-10-18,1.85,2.3,1.4,1.61,1232711,2.16,2.3,3340000,6179000,41.22
CCCL,2018-10-18,2.36,6.45,2.26,3.67,16593418,3,6.45,4620000,10903200,31.84
MTNB,2018-10-18,1.05,1.12,0.83,1.06,17918345,1.22,1.08,94640000,99372000,30.58
ECYT,2018-10-18,23.37,23.54,23.33,23.4,46817928,23.69,23.54,79460000,1856980200,50.19
PTI,2018-10-18,5.97,10.38,5.7,10.35,94237882,6.55,8.38,36700000,219099000,215.87
LMFA,2018-10-19,4.25,7.3,3.55,3.99,967133,4.89,7.3,630000,2677500,32.4
CREG,2018-10-19,2,2.11,1.4,1.52,2117059,2.43,2.11,8310000,16620000,30.72
PLAG,2018-10-19,3.21,11.51,2.85,11.51,5807186,3.4,11.51,3140000,10079400,20.22
CPHI,2018-10-19,0.64,0.69,0.4,0.43,9730329,0.74,0.695,43580000,27891200,42.22
CNET,2018-10-19,3.84,3.89,2.35,2.6,11420963,4.26,3.89,16129999,61939196.16,70.67
TTNP,2018-10-19,0.41,0.45,0.35,0.38,55653572,0.44,0.4453,27070000,11071630,27.41
ARII,2018-10-22,69.7,70.03,69.7,70,2618899,69.85,69.84,19080000,1329876000,50.57
DVAX,2018-10-22,13.62,13.75,11.45,12.09,6424968,14,13.75,62620000,852884400,25.07
SLS,2018-10-22,1.99,2.05,1.29,1.34,7996873,2.26,2.05,19570000,38944300,27.56
JTPY,2018-10-22,4.97,5,4.96,4.96,8003807,5.02,5,15440000,76736800,142.46
NETE,2018-10-22,8.3,10.6,5.23,6.15,9805450,11.9,10.6,3870000,32121000,106.98
ESEA,2018-10-22,1.78,3.87,1.65,2.4,22105984,2.19,3.1,11270000,20060600,34.85
TOPS,2018-10-22,1.84,2.7,1.77,1.97,51929335,4,2.43,16970000,31224800,44.88
PLAG,2018-10-23,5.19,7.97,4.68,6.2,8685132,5.44,7.97,3140000,16296600,22.99
RGLS,2018-10-23,2.48,3.14,2.08,2.12,17027209,2.7,3.14,8750000,21700000,35.52
HMNY,2018-10-23,0.02,0.03,0.02,0.02,211445568,0.0333,0.0255,1500000000,33000000,30.18
CMTA,2018-10-24,14.66,19.58,14.1,14.5,795287,14.65,19.58,31720000,465015200,41.78
PLAG,2018-10-24,7.6,8.74,5.78,5.99,6092790,8.34,8.74,3140000,23864000,22.58
SGLB,2018-10-24,1.71,2.58,1.35,1.35,6296300,1.72,2.58,8250000,14107500,26.67
WWR,2018-10-24,0.26,0.28,0.2,0.2,6471443,0.289584,0.28,52000000,13650000,24.82
TTNP,2018-10-24,0.59,0.63,0.48,0.5,68181034,0.63,0.63,64900000,38057360,22.17
CUR,2018-10-25,0.91,1.21,0.81,0.86,3607030,1.03,1.21,15160000,13797116,20.86
UAVS,2018-10-25,1.19,1.54,0.97,1.05,7903895,1.34,1.54,10160000,12090400,21.74
GLUU,2018-10-25,6.76,6.88,6.12,6.42,19221172,7.3,6.88,141800000,958568000,20.5
AMRH,2018-10-25,0.59,0.79,0.46,0.49,20783988,0.85,0.785,22870000,13470430,44.08
RRTS,2018-10-26,0.55,0.95,0.5,0.51,11884584,0.6,0.9501,38520000,21186000,29.41
DRNA,2018-10-29,15.78,16.06,12.96,13.62,2435446,18.5,16.06,52970000,835866600,21.38
SOLO,2018-10-29,5.6,7.48,4.08,4.55,21827097,7.26,7.48,27620000,154672000,156.88
RHT,2018-10-29,174.16,174.48,166.1,169.63,30822033,179.88,174.48,175970000,30646935200,49.26
BLPH,2018-10-30,0.87,0.87,0.73,0.77,213579,0.85,0.87,57800000,50286000,23.58
ACHV,2018-10-30,2.8,2.87,2,2.05,5707164,3,2.87,6030000,16884000,30.65
RSLS,2018-10-30,0.02,0.03,0.02,0.02,5990310,0.025,0.0244,83470000,1953198,20.62
GSL,2018-10-30,1.38,1.4,0.81,0.94,8509443,2,1.4,47610000,65701800,62.35
ESIO,2018-10-30,27.31,28.73,26.85,28.53,13244924,29.25,28.44,34140000,932363400,82.92
YUMA,2018-10-31,0.35,0.35,0.27,0.29,306247,0.32,0.349,23240000,8110760,25.22
RBBN,2018-10-31,6.92,7.2,6.31,6.8,1179327,6.74,7.2,104020000,719818400,22.48
ARAY,2018-10-31,4.25,4.82,4.25,4.49,3810357,4.6,4.76,86500000,367625000,23.55
LKSD,2018-10-31,10.85,11.18,9.35,9.43,4078725,11.3,11.18,33369999,362064489.2,27.8
AMRH,2018-10-31,0.41,0.42,0.3,0.32,11038851,0.58,0.42,22870000,9491050,41.88
SBBP,2018-10-31,6.44,6.52,5.12,6.4,11655518,6.61,6.4706,46710000,300812400,59.01
TNXP,2018-10-31,0.95,0.99,0.68,0.72,15493803,1.0892,0.988,13480000,12806000,48.44
RFP,2018-11-01,13.81,14.11,12.72,13.66,1242414,13.19,14.11,90450000,1249114500,22.54
SLS,2018-11-01,1.47,1.93,1.36,1.66,21005261,1.69,1.75,19570000,28767900,20.49
SES,2018-11-02,1.97,1.97,1.36,1.5,128090,2.9,1.97,11000000,21670000,45.93
CATM,2018-11-02,34,34.67,31.59,33.96,2369101,33.87,34.67,46090000,1567060000,22.48
VVPR,2018-11-02,1.65,1.93,1.36,1.42,2420384,1.99,1.93,13560000,22374000,34.15
GSAT,2018-11-02,0.43,0.43,0.37,0.38,6050747,0.43,0.4294,1264000000,542761600,21.64
PACB,2018-11-02,7.55,7.58,7.46,7.56,97448639,7.67,7.58,146010000,1102375500,67.41
GLOW,2018-11-05,0.22,0.23,0.19,0.2,2362303,0.29,0.2296,47910000,10612065,29.38
DWCH,2018-11-05,13.06,13.11,13.03,13.09,5270839,13.1,13.08,12730000,166253800,34.78
AYTU,2018-11-05,1.53,1.59,1.1,1.11,12623848,1.65,1.59,10600000,16218000,34.21
INUV,2018-11-05,1.1,1.55,0.81,1.34,22381555,1.5,1.25,32200000,35420000,165.83
CVON,2018-11-06,12.45,12.49,12.41,12.41,5353104,12.47,12.49,76400000,951180000,32.03
VCEL,2018-11-06,14.25,17.26,14.1,16.65,10896935,14.69,16.43,42730000,608902500,23.48
WKHS,2018-11-08,0.9,0.9,0.78,0.81,143324,0.8,0.9,56270000,50643000,20.79
ORM,2018-11-08,18.7,19.83,18.25,19.43,586539,20.7,19.83,8600000,160820000,25
SND,2018-11-08,3.48,3.88,3.2,3.27,3833569,3.6399,3.88,41600000,144768000,21.25
PTLA,2018-11-08,23.44,25,22.3,23.14,6061749,22.95,25,66090000,1549149600,22.98
NK,2018-11-08,3.5,4.1,3.36,3.72,15006266,4.1,4.1,79210000,277235000,29.15
PDEX,2018-11-09,11.2,12.5,11.15,12.07,174211,11.5,12.25,4270000,47824000,20.43
REV,2018-11-09,26.3,29.62,24.05,28.61,1018424,26.95,27.9099,52830000,1389429000,20.64
AWX,2018-11-09,4.77,4.95,3.16,3.55,4176113,5.1,4.95,3190000,15216300,34.75
KIQ,2018-11-09,0.52,0.85,0.43,0.51,9763601,0.4301,0.85,47170000,24481230,32.77
SLS,2018-11-09,2.26,2.46,1.82,1.84,13195954,2.48,2.46,19570000,44228200,20.86
NVLN,2018-11-09,1.55,2.12,1.46,1.71,35530876,1.55,1.98,18850000,29217500,24
CCRC,2018-11-12,13.4,13.46,10.71,11.09,255500,13.65,13.4599,18330000,245622000,31.89
BBOX,2018-11-12,1.05,1.12,1.05,1.07,4255605,1.11,1.12,15230000,15991500,20.69
APTI,2018-11-12,37.72,37.8,37.6,37.65,16683742,37.84,37.8,45100000,1701172000,51.79
SVT,2018-11-13,12,12.7,11,11.99,78128,13,12.7,2580000,30960000,21.18
ATXI,2018-11-13,5,5.38,4.2,4.63,986293,5.88,5.38,10550000,52750000,20.19
GLBS,2018-11-13,10.05,10.5,7.92,8.27,1391584,10.7,10.5,3210000,32260500,28.03
EYEG,2018-11-13,0.47,0.64,0.41,0.42,31180020,0.62,0.6199,43440000,20216976,49.21
LMFA,2018-11-14,2.1,2.44,1.65,1.78,6450879,2.29,2.44,630000,1323000,21.39
TAHO,2018-11-14,3.11,3.3,3.08,3.27,42915354,3.3,3.27,313310000,974394100,41.36
NAKD,2018-11-15,1.36,1.58,1.06,1.14,3977676,1.41,1.58,22960000,31225600,20.35
QURE,2018-11-15,29.62,35,27.5,30.93,4700696,32,35,37280000,1104233600,29.91
ARNA,2018-11-15,39.46,42.47,38.63,39.55,4856404,41.45,42.47,49410000,1949718600,21.34
AMRH,2018-11-15,0.39,0.4,0.31,0.32,11969488,0.4,0.395,39610000,15368680,41.71
XSPA,2018-11-15,0.24,0.28,0.2,0.2,13203473,0.249,0.275,27120000,6400320,32.36
EMCI,2018-11-16,30.05,31.5,30.03,31.25,542363,30.45,31.25,21610000,649380500,25.26
PCG,2018-11-16,25.2,25.51,23.01,24.4,54708757,26.89,25.51,518669999,13073077325,42.08
AKER,2018-11-19,2.67,3.2,1.56,1.75,15385797,3,3.2,12470000,33294900,117.07
ORPN,2018-11-20,1.48,1.76,1.29,1.55,2796204,1.7,1.76,3340000,4943200,24.37
ABIL,2018-11-21,3.79,8.14,3.77,5.55,33451157,3.88,7.16,3310000,12544900,34.4
ARCI,2018-11-23,0.88,1.07,0.7,0.75,9425940,1,1.07,8470000,7453600,46.67
