Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
MOXC,2017-04-28,2.79,2.79,2.41,2.44,37453,2.65,2.79,67010000,186957900,26.24
PN,2017-04-28,3.6,3.75,2.83,2.89,169120,3.31,3.75,26860000,96696000,24.57
AMPE,2017-05-01,0.7,0.81,0.66,0.72,2477237,0.72,0.794,57240000,40354200,26.1
OCN,2017-05-01,2.93,3.38,2.6,3.1,36170115,3.09,3.37,124030000,363407900,27.95
NXTD,2017-05-02,2.09,2.2,1.76,1.79,1637863,2.23,2.2,8540000,17848600,22.94
MOC,2017-05-02,3.08,3.09,2.73,2.83,1806204,3.81,3.09,9850000,30338000,22.04
ANGI,2017-05-02,9.13,9.9,9,9.51,26466269,9.38,9.75,59430000,542595900,55.01
LOV,2017-05-03,1.2,1.33,1.12,1.15,1159650,1.22,1.33,32000000,38400000,21.21
STRP,2017-05-03,155.35,156.17,150,155.2,1257988,156.9,156.1699,11700000,1817595000,23.47
PHMD,2017-05-03,1.57,1.92,1.38,1.4,2711721,1.78,1.92,4420000,6939400,29.75
ESES,2017-05-03,1.74,1.97,1.34,1.4,8107803,2.08,1.97,15030000,26152200,67.31
PIRS,2017-05-03,3.16,3.97,3.03,3.67,27785094,4,3.9,43060000,136069600,31.67
APHB,2017-05-04,2.25,4.88,2.17,2.9,10937443,2.93,4.88,1650000,3712500,26.4
FNBC,2017-05-04,0.34,0.89,0.29,0.61,88029011,0.347,0.89,19230000,6442050,35.9
SNCR,2017-05-05,18.68,19.31,16.78,17.99,7131682,18.99,19.3095,46370000,866191600,20.91
STRP,2017-05-08,206.87,220.86,203.97,214.74,1213521,207.5,220.86,11700000,2420379000,28.1
DRRX,2017-05-08,1.12,1.17,0.96,0.97,10803886,1.16,1.17,141910000,158939200,40
HOTR,2017-05-08,0.55,0.69,0.44,0.49,11385350,0.62,0.689,23800000,13090000,35.8
CVU,2017-05-09,7.05,8.13,6.76,7,314228,7.505,8.1282,8830000,62251500,23.68
CLNT,2017-05-09,4.3,6.99,4.11,5.45,17225490,5,6.99,1420000,6106000,31.5
ESIO,2017-05-10,9,9.2,8.39,8.5,1270301,9.32,9.2,32670000,294030000,20.81
ARGS,2017-05-10,0.55,0.58,0.46,0.51,3708478,0.65,0.58,41360000,22748000,34.15
PRTO,2017-05-10,1.85,1.95,1.54,1.6,4694660,2.2,1.95,16770000,31024500,42.31
MTBC,2017-05-10,2.6,3.84,2.38,2.41,19701336,2.7,3.84,10490000,27274000,32.65
ENSV,2017-05-11,0.39,0.39,0.3,0.34,755954,0.44,0.39,51070000,19917300,34.48
PED,2017-05-11,1.24,1.48,0.91,1.02,1922291,1.45,1.48,5490000,6807600,27.84
MSLI,2017-05-11,1.2,1.2,1.17,1.17,2248465,1.65,1.2,117350000,140820000,58.1
